fips,county_newspaper_quantity_2019
1001,0
1009,1
1017,2
1021,2
1033,2
1045,1
1051,2
1065,2
1079,1
1083,1
1099,1
1107,1
1121,1
5141,3
5145,2
6005,1
6021,2
6033,3
6043,1
6055,4
6089,4
6099,10
6115,1
8003,1
8013,7
8014,1
8025,1
8031,4
8035,5
8047,1
12083,5
12087,3
12095,5
12111,0
12119,2
12125,0
13001,0
13013,0
13029,1
13043,1
13055,1
13059,2
13071,1
13079,1
13091,1
13107,1
13113,3
13123,1
8053,1
8057,1
8059,5
8073,3
8083,1
8095,2
8105,3
8111,1
8123,3
9015,1
12001,3
12013,0
12023,1
12039,3
12055,3
12059,1
12073,3
4003,5
4013,19
5001,2
5009,1
5019,2
5029,1
5043,1
5051,1
5061,1
5071,1
5085,4
5097,1
5101,1
5111,2
5123,1
5129,1
13309,1
13313,1
13319,0
16015,1
16021,1
16045,1
16051,1
16057,1
16067,0
16081,1
17005,1
17009,1
17019,7
17029,2
17035,3
17049,5
17055,1
17065,0
18051,2
18059,2
18069,1
18079,2
18085,2
18095,4
18105,2
18115,1
18125,1
18131,2
18139,1
18153,1
18173,1
18179,2
18183,3
19009,1
19017,5
19021,3
19031,2
19039,1
17073,5
17077,2
17079,1
17089,5
17103,3
17107,1
17121,2
17129,2
17139,1
17145,1
17155,1
17169,1
17175,0
17179,8
17189,2
17203,2
18009,2
18011,2
18021,2
18033,0
13125,0
13129,1
13131,1
13139,1
13157,5
13169,1
13175,1
13187,1
13197,0
13201,1
13217,2
13225,1
13233,1
13243,0
13253,1
13265,1
13277,1
13285,2
13293,1
13303,1
20027,1
20029,4
20039,1
20049,0
20065,1
20075,1
20085,1
20095,3
20105,1
20115,4
20127,2
20135,1
20145,1
20155,4
20163,2
20173,7
20185,2
20195,1
20203,1
20205,2
21183,1
21187,1
21189,1
21199,1
21209,1
21219,1
21229,1
22001,3
22013,1
22033,3
22053,1
22073,4
22077,1
22089,1
22105,4
22115,1
21003,1
21009,2
21017,1
21025,2
21031,1
21043,2
21053,1
21063,1
21077,1
21087,1
21099,1
21103,1
21115,1
21121,1
21137,1
21143,1
21151,2
21157,2
21169,1
21175,1
19045,2
19047,5
19055,3
19063,3
19067,1
19079,3
19087,3
19095,2
19105,2
19113,4
19121,1
19125,3
19137,2
19141,0
19151,2
19161,3
19169,4
19175,2
19181,2
19195,2
20005,2
20015,1
27073,2
27083,5
27085,4
27093,2
27103,2
27113,2
27121,2
27127,4
27147,2
27153,3
27161,3
28003,1
28013,1
28017,2
28029,2
28037,1
28049,4
28061,1
28065,1
28075,1
22121,1
22127,1
23009,7
23029,3
24001,3
24003,5
24009,1
24017,1
24019,2
24029,1
24035,0
24037,0
24039,2
24041,1
25011,1
26009,0
26015,4
26023,2
26035,1
26037,2
26045,3
26057,1
26061,1
26073,1
26077,2
26083,0
26085,1
26091,6
26097,1
26103,1
26107,1
26111,1
26117,1
26123,1
26133,2
26143,1
26155,3
26161,1
26165,2
27009,2
27019,6
27029,2
27039,2
27051,1
27057,2
27067,2
29097,4
29103,1
29109,2
29117,1
29131,2
29137,1
29151,1
29159,1
29169,2
29179,1
29195,2
29205,2
29211,1
29221,1
29229,2
30013,2
30037,0
30043,2
31121,2
31125,2
31135,0
31137,2
31147,2
31159,2
31163,0
31171,1
31183,0
32009,0
32021,1
32033,1
34007,4
34015,2
34031,7
35001,3
35006,1
30051,1
30059,1
30069,0
30093,2
30099,2
30107,1
31003,4
31009,0
31023,1
31035,1
31037,4
31047,3
31053,4
31063,1
31073,1
31085,1
31093,1
31097,1
31117,0
28079,1
28083,1
28095,1
28099,1
28103,1
28115,1
28117,1
28127,2
28139,1
28151,2
29001,1
29009,3
29021,2
29033,3
29043,2
29053,1
29065,1
29075,2
29085,1
37001,3
37005,1
37017,1
37021,4
37027,2
37055,1
37057,3
37067,5
37081,5
37091,1
37103,0
37117,1
37127,3
37141,1
37151,1
37165,1
37167,1
39055,1
39063,2
39065,2
39075,1
39089,7
39097,3
39109,3
39121,1
39131,1
39143,1
39147,4
39159,3
39169,3
39173,5
40009,2
40019,4
40031,2
40043,1
40053,2
37181,1
37191,2
37197,1
38007,1
38019,1
38031,1
38035,3
38045,3
38061,3
38073,2
38079,2
38091,1
38103,1
39003,4
39015,3
39027,1
39039,2
39047,1
35015,2
35027,2
35028,1
35045,1
35053,1
36003,4
36021,2
36037,1
36043,5
36057,5
36069,3
36083,1
36095,1
36109,6
36121,2
36123,2
42013,3
42015,4
42021,6
42031,2
42047,3
42063,2
42069,4
42087,2
42093,0
42105,1
42113,1
42123,1
45005,0
45009,1
45027,1
45039,2
47005,1
47007,1
47013,1
