"","state","newspaper_id","newspaper_name","frequency","city","county","owner_id","owner_name","owner_type","total_circulation","days_published"
"1","CA",90676,"Simi Valley Acorn","W","Agoura Hills","Los Angeles",4786,"J. Bee NP Publishing","Private",34041,1
"2","AK",90107,"Valdez Star","W","Valdez","Valdez-Cordova",6044,"Revis, Lee","Private",2020,1
"3","AK",50028,"Daily Sitka Sentinel","D","Sitka","Sitka",4492,"Poulson, Thad","Private",2501,5
"4","AK",50003,"Anchorage Press","W","Anchorage","Anchorage",5813,"Wick Communications","Private",20000,1
"5","AK",20966,"Wrangell Sentinel","W","Wrangell","Wrangell",3566,"Loesch Ron","Private",1520,1
"6","AK",20034,"The Seward Phoenix Log","W","Seward","Kenai Peninsula",1069,"All Alaska News Unlimited LLC","Private",750,1
"7","AK",19009,"Delta Wind","W","Delta Junction","Southeast Fairbanks",5504,"TriDelta Inc","Private",4320.5,1
"8","AK",18943,"The Cordova Times","W","Cordova","Valdez-Cordova",6045,"Native Village of Eyak","Private",969,1
"9","AK",18776,"The Bristol Bay Times/Dutch Harbor Fisherman","W","Anchorage","Anchorage",1050,"Alaska Media LLC","Private",4320.5,1
"10","AK",18654,"The Arctic Sounder","W","Anchorage","Anchorage",1050,"Alaska Media LLC","Private",2000,1
"11","AK",17807,"Petersburg Pilot","W","Petersburg","Petersburg",3566,"Loesch Ron","Private",1834,1
"12","AK",16625,"Homer News","W","Homer","Kenai",4018,"Morris Communications Company","Private",3000,1
"13","AK",16263,"Frontiersman","W","Wasilla","Matanuska-Susitna",5813,"Wick Communications","Private",2932,3
"14","AK",15568,"Chilkat Valley News","W","Haines","Haines",6043,"Clayton, Kyle","Private",1200,1
"15","AK",15427,"Capital City Weekly","W","Juneau","Juneau",4018,"Morris Communications Company","Private",30000,1
"16","AK",14159,"The Nome Nugget","W","Nome","Nome",3803,"McGuire Nancy","Private",6000,1
"17","AK",14158,"Ketchikan Daily News","D","Ketchikan","Ketchikan Gateway",4445,"Pioneer Printing Company Inc","Private",4117,6
"18","AK",14157,"Homer Tribune","W","Homer","Kenai",1050,"Alaska Media LLC","Private",4320.5,1
"19","AK",14155,"The Chugiak-Eagle River Star","W","Eagle River","Anchorage",4018,"Morris Communications Company","Private",4800,1
"20","AK",12777,"Peninsula Clarion","D","Kenai","Kenai Peninsula",1347,"Black Press Group","Private",5710,6
"21","AK",11875,"Kodiak Daily Mirror","D","Kodiak","Kodiak Island",2107,"Helen E Snedded Foundation","unknown",2849,5
"22","AK",11817,"Juneau Empire","D","Juneau","Juneau",1347,"Black Press Group","Private",4491,6
"23","AK",11227,"Fairbanks Daily News-Miner","D","Fairbanks","Fairbanks North Star",2107,"Helen E Snedded Foundation","unknown",13356,7
"24","AK",10092,"Alaska Dispatch News","D","Anchorage","Anchorage",6028,"Ryan Binkley & Jason Evans","Private",33301,7
"25","AL",90163,"Birmingham Times","W","Birmingham","Jefferson",6050,"Foundation for Progress in Journalism","Private",16500,1
"26","AL",90001,"Pelham Reporter","W","Columbiana","Shelby",1409,"Boone Newspapers","Private",32497,1
"27","AL",90000,"Alabaster Reporter","W","Columbiana","Shelby",1409,"Boone Newspapers","Private",32497,1
"28","AL",50175,"North Jackson Progress","W","Stevenson","Jackson",2615,"Glass, Larry","Private",6000,2
"29","AL",50167,"Coosa County News","W","Rockford","Coosa",4854,"Scarbrough, Lewis","Private",1700,1
"30","AL",50157,"Saint Clair Times The","W","Pell City","St. Clair",1855,"Consolidated Publishing Co","Private",68000,1
"31","AL",50150,"Moundville Times","W","Moundville","Hale",5333,"Taylor, Larry","Private",1300,1
"32","AL",50142,"Mobile Beacon & Alabama Citizen","W","Mobile","Mobile",6046,"Mobile Beacon Publishing Co., Inc.","Private",4320.5,1
"33","AL",50124,"Speakin' Out Weekly","W","Huntsville","Madison",5057,"Smothers, William D.","Private",27000,1
"34","AL",50104,"Gadsden Messenger","W","Gadsden","Etowah",3769,"McCharthy, Chris","Private",8000,1
"35","AL",50045,"Auburn Villager","W","Auburn","Lee",2242,"Eddins, Don","Private",4000,1
"36","AL",21576,"Northport Gazette The","W","Northport","Tuscaloosa",1392,"Bobo Peyton","Private",22000,1
"37","AL",21562,"Islander The","W","Foley","Baldwin",4270,"Osteen Publishing Co","Private",1737,2
"38","AL",21441,"Western Star The","W","Bessemer","Jefferson",5491,"Trib Publications","Private",4200,1
"39","AL",21264,"Call News","W","Citronelle","Mobile",2674,"Gray Willie","Private",4550,1
"40","AL",21065,"Hartford News-Herald","W","Geneva","Geneva",4548,"Pujol Printing and Publishing LLC","Private",2500,1
"41","AL",20888,"Wilcox Progressive Era","W","Camden","Wilcox",3631,"M H Curl and Associates Inc","Private",2500,1
"42","AL",20766,"West Alabama Gazette","W","Millport","Lamar",1392,"Bobo Peyton","Private",3500,1
"43","AL",20704,"Washington County News","W","Citronelle","Washington",2674,"Gray Willie","Private",4075,1
"44","AL",20582,"Union Springs Herald","W","Union Springs","Bullock",5556,"Union Springs Herald LLC","Private",2401,1
"45","AL",20555,"Tuskegee News The","W","Tuskegee","Macon",2037,"Davis Gayle","Private",2800,1
"46","AL",20378,"Wetumpka Herald The","W","Alexander City","Elmore",1409,"Boone Newspapers","Private",5800,2
"47","AL",20216,"Tri-City Ledger The","W","Flomaton","Escambia",5380,"Thomas Joe.","Private",5300,1
"48","AL",20198,"Times-Record The","W","Fayette","Fayette",3896,"Mid-South Management Company Inc","Private",5000,1
"49","AL",20176,"Thomasville Times The","W","Thomasville","Clarke",6049,"Cox, Jim","Private",3700,1
"50","AL",20158,"Tallassee Tribune The","W","Tallassee","Tallapoosa",1409,"Boone Newspapers","Private",4200,1
"51","AL",20071,"South Alabamian The","W","Jackson","Clarke",6049,"Cox, Jim","Private",4258,1
"52","AL",19932,"Red Bay News The","W","Red Bay","Franklin",2827,"Harden Rubidale","Private",4000,1
"53","AL",19917,"Randolph Leader The","W","Roanoke","Randolph",5185,"Randolph Publishers, Inc.","Private",7000,1
"54","AL",19839,"Citizen of East Alabama The","W","Phenix City","Lee & Russell",2374,"Family Media Inc","Private",13500,1
"55","AL",19787,"Opp News The","W","Opp","Covington",4548,"Pujol Printing and Publishing LLC","Private",5300,1
"56","AL",19785,"Onlooker The","W","Foley","Baldwin",4270,"Osteen Publishing Co","Private",4600,2
"57","AL",19644,"Moulton Advertiser The","W","Moulton","Lawrence",4951,"Shelton Family","Private",13673,1
"58","AL",19518,"Luverne Journal The","W","Luverne","Crenshaw",1409,"Boone Newspapers","Private",2400,1
"59","AL",19264,"Hartselle Enquirer","W","Hartselle","Morgan",1409,"Boone Newspapers","Private",6600,1
"60","AL",19071,"Elba Clipper The","W","Elba","Coffee",2759,"H F Enterprises Inc.","Private",2650,1
"61","AL",19013,"Democrat-Reporter","W","Linden","Marengo",5286,"Sutton Goodloe","Private",9385,1
"62","AL",18976,"Cullman Tribune The","W","Cullman","Cullman",6047,"CullmanSense","Private",13400,1
"63","AL",18900,"Cleburne News The","W","Heflin","Cleburne",1855,"Consolidated Publishing Co","Private",3000,1
"64","AL",18852,"Centreville Press The","W","Centreville","Bibb",5491,"Trib Publications","Private",4357,1
"65","AL",18771,"Brewton Standard The","W","Brewton","Escambia",1409,"Boone Newspapers","Private",3330,2
"66","AL",18745,"Blount Countian The","W","Oneonta","Blount",4677,"Rice Rob","Private",19900,1
"67","AL",18675,"Baldwin Times The","W","Foley","Baldwin",4270,"Osteen Publishing Co","Private",4320.5,1
"68","AL",18650,"Arab Tribune The","W","Arab","Marshall",4623,"Reed Edwin","Private",6500,2
"69","AL",18530,"Sumter County Record-Journal","W","Livingston","Sumter",3801,"McGraw Tommy","Private",5400,1
"70","AL",18430,"St. Clair News-Aegis","W","Pell City","St. Clair",6032,"CNHI","Investment",5500,1
"71","AL",18361,"Southeast Sun","W","Enterprise","Coffee",4562,"QST Publications Inc","Private",14662,1
"72","AL",18235,"Shelby County Reporter","W","Columbiana","Shelby",1409,"Boone Newspapers","Private",32497,1
"73","AL",18229,"Standard & Times","W","Tuscumbia","Colbert",1940,"Crawford Jim","Private",1000,1
"74","AL",18158,"Sand Mountain Reporter","W","Albertville","Marshall",5084,"Southern Newspapers","Private",6897,3
"75","AL",18143,"Samson Ledger","W","Geneva","Geneva",4548,"Pujol Printing and Publishing LLC","Private",0,1
"76","AL",17821,"Piedmont Journal","W","Anniston","Calhoun",1855,"Consolidated Publishing Co","Private",3300,1
"77","AL",17816,"Pickens County Herald","W","Carrollton","Pickens",2933,"Hershal Lake Publishing","Private",4027,1
"78","AL",17596,"Northwest Alabamian","W","Haleyville","Winston",3896,"Mid-South Management Company Inc","Private",7578,2
"79","AL",17546,"North Jefferson News","W","Gardendale","Jefferson",6032,"CNHI","Investment",2310,1
"80","AL",17326,"Montgomery Independent","W","Montgomery","Montgomery",4587,"RAM Publications","Private",14872,1
"81","AL",17311,"Monroe Journal The","W","Monroeville","Monroe",1402,"Bolton Newspapers Inc.","Private",19700,1
"82","AL",17146,"Marion Times-Standard","W","Marion","Perry",5491,"Trib Publications","Private",2025,1
"83","AL",17086,"Madison Record The","W","Madison","Madison",1409,"Boone Newspapers","Private",0,1
"84","AL",17063,"Lowndes Signal","W","Fort Deposit","Lowndes",1409,"Boone Newspapers","Private",1900,1
"85","AL",16919,"Lamar Leader","W","Sulligent","Lamar",6052,"Lamar Publishing, Inc.","Private",3000,1
"86","AL",16918,"Lamar Democrat","W","Vernon","Lamar",4630,"Reeves Howard","Private",2938,1
"87","AL",16865,"LaFayette Sun","W","LaFayette","Chambers",5820,"Wilcox Mike","Private",2638,1
"88","AL",16791,"Journal Record","W","Haleyville","Marion",3896,"Mid-South Management Company Inc","Private",8579,2
"89","AL",16754,"Jacksonville News The","W","Anniston","Calhoun",1855,"Consolidated Publishing Co","Private",3300,1
"90","AL",16518,"Geneva County Reaper","W","Geneva","Geneva",4548,"Pujol Printing and Publishing LLC","Private",2500,1
"91","AL",16436,"Greenville Advocate The","W","Greenville","Butler",1409,"Boone Newspapers","Private",12700,2
"92","AL",16433,"Greensboro Watchman","W","Greensboro","Hale",2699,"Greensboro Watchman Inc","Private",2795,1
"93","AL",16422,"Greene County Democrat","W","Eutaw","Greene",5973,"Greene County Democrat Newspaper Company Inc.","Private",4300,1
"94","AL",16236,"Franklin County Times","W","Russellville","Franklin",1409,"Boone Newspapers","Private",3800,1
"95","AL",16182,"Florala News The","W","Florala","Covington",5908,"Woodham Publishing","Private",1700,1
"96","AL",16139,"Fairhope Courier The","W","Fairhope","Baldwin",4270,"Osteen Publishing Co","Private",1752,2
"97","AL",16114,"Eufaula Tribune","W","Eufaula","Barbour",1306,"BH Media Group","Investment",4300,2
"98","AL",16028,"Eclectic Observer","W","Wetumpka","Elmore",1409,"Boone Newspapers","Private",1300,1
"99","AL",15996,"East Lauderdale News","W","Rogersville","Lauderdale",6049,"Cox, Jim","Private",4500,1
"100","AL",15892,"Demopolis Times","W","Demopolis","Marengo",1409,"Boone Newspapers","Private",2850,2
"101","AL",15821,"Daleville Sun-Courier","W","Daleville","Dale",4562,"QST Publications Inc","Private",6332,1
"102","AL",15819,"Dadeville Record","W","Alexander City","Tallapoosa",1409,"Boone Newspapers","Private",1600,1
"103","AL",15670,"Colbert County Reporter","W","Tuscumbia","Colbert",1940,"Crawford Jim","Private",4500,1
"104","AL",15627,"Clay Times-Journal","W","Lineville","Clay",4531,"Proctor David","Private",3899,1
"105","AL",15613,"Clarke County Democrat","W","Grove Hill","Clarke",6049,"Cox, Jim","Private",3700,1
"106","AL",15578,"Choctaw Sun-Advocate","W","Gilbertown","Choctaw",6048,"Campbell Newspapers","Private",4800,1
"107","AL",15569,"Chilton County News","W","Clanton","Chilton",5523,"Tucker Robert","Private",3000,1
"108","AL",15545,"Cherokee County Herald","W","Centre","Cherokee",6051,"Crawford Jr., David","Private",8466,1
"109","AL",15044,"Atmore Advance","W","Atmore","Escambia",1409,"Boone Newspapers","Private",9100,1
"110","AL",14909,"Advertiser-Gleam","W","Guntersville","Marshall",1031,"Advertiser Gleam Corporation","Private",8140,2
"111","AL",14882,"Abbeville Herald","W","Abbeville","Henry",2133,"Dodd Edward J","Private",2350,1
"112","AL",14148,"Clanton Advertiser The","D","Clanton","Chilton",1409,"Boone Newspapers","Private",5000,5
"113","AL",13738,"Valley Times-News The","D","Lanett","Chambers",1409,"Boone Newspapers","Private",6000,5
"114","AL",13686,"Tuscaloosa News The","D","Tuscaloosa","Tuscaloosa",2464,"New Media/GateHouse","Investment",24409,7
"115","AL",13371,"Anniston Star","D","Anniston","Calhoun",1855,"Consolidated Publishing Co","Private",15606,1
"116","AL",13191,"Selma Times-Journal The","D","Selma","Dallas",1409,"Boone Newspapers","Private",16500,6
"117","AL",12669,"Opelika-Auburn News","D","Opelika","Lee",1306,"BH Media Group","Investment",12363,7
"118","AL",12501,"News-Courier The","D","Athens","Limestone",6032,"CNHI","Investment",7693,6
"119","AL",12331,"Montgomery Advertiser","D","Montgomery","Montgomery",2547,"Gannett","Public",25540,7
"120","AL",12308,"Press-Register","W","Mobile","Mobile",1030,"Advance Publications","Private",18748,7
"121","AL",12236,"Troy Messenger The","D","Troy","Pike",1409,"Boone Newspapers","Private",2814,5
"122","AL",11766,"Daily Mountain Eagle","D","Jasper","Walker",1763,"Cleveland Newspapers Inc","Private",6915,7
"123","AL",11678,"Huntsville Times","W","Huntsville","Madison",1030,"Advance Publications","Private",14521,7
"124","AL",11341,"Gadsden Times The","D","Gadsden","Etowah",2464,"New Media/GateHouse","Investment",12597,7
"125","AL",11289,"Times-Journal The","D","Fort Payne","DeKalb",5084,"Southern Newspapers","Private",3334,5
"126","AL",11267,"Times Daily","D","Florence","Lauderdale",4951,"Shelton Family","Private",20306,7
"127","AL",11183,"Enterprise Ledger The","D","Enterprise","Coffee",1306,"BH Media Group","Investment",7100,5
"128","AL",11048,"Dothan Eagle","D","Dothan","Houston",1306,"BH Media Group","Investment",22714,7
"129","AL",10981,"Decatur Daily The","D","Decatur","Morgan",4951,"Shelton Family","Private",14735,7
"130","AL",10923,"Daily Sentinel The","D","Scottsboro","Jackson",5084,"Southern Newspapers","Private",3044,5
"131","AL",10841,"Daily Home The","D","Talladega","Talladega",1855,"Consolidated Publishing Co","Private",9872,6
